OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
154,45180,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.1077271,42.3065109,POINT (-71.107727809999972 42.306511882000052),-71.10772781,42.30651188
155,45181,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.1078033,42.3065491,POINT (-71.107804252999983 42.306547587000068),-71.10780425,42.30654759
156,45182,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.1078644,42.3066101,POINT (-71.107867284999941 42.306609080000044),-71.10786728,42.30660908
157,45183,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.1079483,42.3066406,POINT (-71.107946409999954 42.306640818000062),-71.10794641,42.30664082
158,45184,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.108017,42.3066864,POINT (-71.108020170999964 42.306685450000032),-71.10802017,42.30668545
159,45185,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.108284,42.3068199,POINT (-71.108285708999972 42.306821329000059),-71.10828571,42.30682133
160,45186,Stump,Stump,0,18-24in,18,--,Boston,Jamaica Plain,English High Athletic Field,-71.1081848,42.3067741,POINT (-71.108185126999956 42.306775705000064),-71.10818513,42.30677571
161,45187,"Oak, Shingle",Quercus imbricaria,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.0317459,42.3725586,POINT (-71.031742900999973 42.372557337000046),-71.0317429,42.37255734
162,45188,"Oak, Shingle",Quercus imbricaria,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.031723,42.3723564,POINT (-71.031720102999941 42.372357199000078),-71.0317201,42.3723572
163,45189,"Tupelo, Black",Nyssa sylvatica,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.0326691,42.372303,POINT (-71.032665580999947 42.372301715000049),-71.03266558,42.37230172
164,45190,"Tupelo, Black",Nyssa sylvatica,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.0318909,42.3722916,POINT (-71.031889081999964 42.372290817000078),-71.03188908,42.37229082
165,45191,"Tupelo, Black",Nyssa sylvatica,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.0325012,42.3723106,POINT (-71.032503307999946 42.37231162300003),-71.03250331,42.37231162
166,45192,"Tupelo, Black",Nyssa sylvatica,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.0320587,42.3723145,POINT (-71.032055378999985 42.372313605000045),-71.03205538,42.37231361
167,45193,"Tupelo, Black",Nyssa sylvatica,1,0-3in,2,Fall 2024,Boston,East Boston,East Boston Memorial Park,-71.0321884,42.3723183,POINT (-71.032189488999961 42.372317568000028),-71.03218949,42.37231757
168,45194,"Tupelo, Black",Nyssa sylvatica,1,0-3in,2,Spring 2024,Boston,East Boston,East Boston Memorial Park,-71.0323639,42.3723183,POINT (-71.032365173999949 42.372319549000053),-71.03236517,42.37231955
169,45195,"Linden, Littleleaf",Tilia cordata,1,24-30in,27,--,Boston,East Boston,Noyes Park,-71.009552,42.3868484,POINT (-71.009551484999974 42.386849764000033),-71.00955148,42.38684976
170,45196,"Oak, White",Quercus alba,1,3-6in,5,--,Boston,East Boston,Noyes Park,-71.0099716,42.3865623,POINT (-71.009975273999942 42.386561512000071),-71.00997527,42.38656151
171,45197,"Oak, White",Quercus alba,1,3-6in,5,--,Boston,East Boston,Noyes Park,-71.0100861,42.3865204,POINT (-71.010085243999981 42.386520899000061),-71.01008524,42.3865209
